Introduction, Address, RSS feed, Tags
荷戟独彷徨, https://guanqr.com/, https://guanqr.com/rss.xml, 生活; 思想; 技术
fCC news, https://www.freecodecamp.org/news/, https://www.freecodecamp.org/news/rss/, CSS; JS; Vue; andsoon
Hacker News Best, https://news.ycombinator.com/best, https://hnrss.org/best, 技术
Anyway.FM, https://anyway.fm/, https://anyway.fm/rss.xml, 播客; 设计
王建硕, http://home.wangjianshuo.com/cn/, http://home.wangjianshuo.com/cn/feed, 思想
一休儿的哲学博客, https://yixiuer.me/, https://yixiuer.me/atom.xml, 哲学; 思想
reuixiy, https://io-oi.me/, https://io-oi.me/atom.xml, 技术; 生活
谢益辉的中文日志, https://yihui.org/cn/, https://yihui.org/cn/index.xml, 读书笔记; 思想
阳志平的网志, https://www.yangzhiping.com/, https://www.yangzhiping.com/feed.xml, 认知科学
Paul Graham, http://www.paulgraham.com/, http://www.aaronsw.com/2002/feeds/pgessays.rss, 《黑客与画家》作者
苔原带, https://tundrazone.com/, https://tundrazone.com/feed/, 思考; 阅读
Hector Martin, https://marcan.st/, , 逆向; 极客
Living an awesome life, https://sachachua.com/blog/, https://sachachua.com/blog/feed, Emacs
纯洁的微笑, http://www.ityouknow.com/, http://www.ityouknow.com/feed.xml, Java; SpringBoot
An Amateur Programmer's Blogs, https://dirtysalt.github.io/html/blogs.html, , Orgmode
陈斌（Emacs）, https://blog.binchen.org/, , Emacs
100 Rabbits, https://100r.co/site/home.html, https://100r.co/links/rss.xml, Travel; 旅行
Lobsters, https://lobste.rs/, , Like HN; but focus on computing
Rick Steves’ Travel Blog, https://blog.ricksteves.com/, https://blog.ricksteves.com/?feed=rss2, Travel; 旅行
CSS-Tricks, https://css-tricks.com/, https://css-tricks.com/archives/feed/, CSS; JS
Smashing Magazine, https://www.smashingmagazine.com/, https://www.smashingmagazine.com/feed/, CSS; JS; Vue; andsoon
ProductHunt, https://www.producthunt.com/, https://www.producthunt.com/feed, bestnewproducts
银色子弹, https://silverrainz.me/, https://silverrainz.me//blog/atom.xml, 向Ta学习; Sphinx笔记系统
捕蛇者说, https://pythonhunter.org/episodes/, https://pythonhunter.org/episodes/feed.xml, 播客; Python
CoRecursive, https://corecursive.com/, https://corecursive.com/feed, 播客; 技术
Aeon, https://aeon.co/, https://aeon.co/feed.rss, 思想
NextDraft, https://nextdraft.com/, https://nextdraft.com/feed/, 新闻
Conge, https://conge.github.io/, https://conge.github.io/feed.xml, 生活
Artin's Blog, https://lengthmin.me/, https://lengthmin.me/rss.xml, Python / React / Nodejs（我大概也会沿着这种技术路径）
Coding Horror(Jeff Atwood), https://blog.codinghorror.com/, https://blog.codinghorror.com/rss/, Stack Overflow founder
Joel on Software(Joel Spolsky), https://www.joelonsoftware.com/, https://www.joelonsoftware.com/feed/, 推荐
Clean Coder Blog(Robert C. Martin), http://blog.cleancoder.com/, http://blog.cleancoder.com/atom.xml, 推荐
Martin Fowler, https://martinfowler.com/, https://martinfowler.com/feed.atom, 《重构》作者
Shu Ding, https://shud.in/, https://shud.in/feed.xml, 思考; 艺术
